70.77,28.64,36.47,41.98,7.598,13750.67,32.5,35.58,91.54,42.63,79.43,37.84,47.9,55.94,23.92,52.33,68.48,99.78,566.11,5.5455,35.49,16.314,733.99,118.34,74.93,13.25,79.55,14.047,67.92,7.677,19311.45,2.8612,283.84,40.35,26.6,63078.4,22.72,36.98,6.6818,19.039,16.592,18.326,19.684,23.24,21.58,32.76,122.96,13.232
70.88,28.75,36.94,42.11,7.729,13487.3,32.44,37.04,93.34,43.25,79.54,37.79,47.66,55.67,23.94,52.8,69.38,99.5,569.41,5.5035,35.34,16.684,733.06,118.14,75.06,13.68,79.59,14.079,69.21,7.577000000000001,19582.14,2.8777,293.92,40.41,26.82,63457.28,22.95,37.31,6.7178,19.111,16.533,18.289,19.475,23.06,21.58,33.73,124.17,13.249
71.91,29.86,37.83,44.08,8.352,12441.65,33.72,38.01,93.94,43.27,80.86,38.35,48.59,56.36,24.39,52.75,68.73,101.83,593.7,5.675,35.91,17.742,708.11,116.22,74.95,14.04,80.96,14.554,68.32,8.035,18417.07,3.0103,303.2,41.09,27.84,62330.88,23.71,38.3,6.9201,19.592,16.759,18.311,19.663,23.2,22.02,35.68,128.9,13.523
72.19,29.61,37.77,44.52,8.859,11671.17,33.14,38.51,94.73,43.11,81.1,38.27,49.05,56.91,25.56,52.5,68.39,102.84,584.03,5.6947,35.95,17.575,703.62,115.89,74.89,14.34,81.23,14.648,67.65,8.26,17946.35,3.0392,303.76,41.25,27.56,61655.04,23.68,38.19,7.05,19.672,16.709,18.341,19.374,23.2,22.12,35.65,129.22,13.397
71.83,29.38,37.61,44.68,9.652,10649.11,32.45,38.17,94.81,43.04,80.78,38.01,48.52,56.03,26.56,52.7,68.4,102.2,572.71,5.58,35.61,17.438,709.04,116.24,74.86,14.53,80.89,14.545,66.64,8.007,18428.84,3.0176,305.6,41.15,27.33,61409.29,23.89,37.85,7.303,19.512,16.558,18.147,19.24,22.92,21.93,35.77,127.62,13.423
71.7,29.11,37.38,43.88,9.477,10802.42,32.47,38.08,94.62,42.81,80.41,37.82,47.82,55.16,26.39,52.19,68.27,101.46,568.48,5.4764,35.27,17.082,716.63,116.86,74.86,14.3,80.42,14.38,66.83,7.664,19240.84,2.9610000000000003,305.95,40.87,27.06,62146.5,23.73,37.57,7.241,19.593,16.476,18.035,19.253,22.77,21.91,35.4,125.06,13.536
72.53,29.35,37.38,44.54,10.239,9929.73,32.37,37.28,93.71,42.85,81.39,38.2,49.01,56.16,27.78,53.56,68.2,103.9,565.73,5.6158,35.72,17.452,697.89,115.26,74.74,14.4,81.49,14.737,66.25,8.271,17793.36,3.0717,301.51,41.44,27.35,59796.34,23.81,37.5,7.438,20.15,16.608,18.11,19.455,22.87,22.69,35.94,126.66,14.229
72.43,29.09,37.18,44.41,10.031,10138.07,32.47,36.46,92.89,43.2,81.31,38.11,49.16,56.18,27.11,53.14,68.42,103.6,568.98,5.5566,35.53,17.184,699.59,115.54,74.85,14.15,81.41,14.714,67.13,8.305,17652.15,3.0652,301.68,41.35,27.12,59822.08,23.49,37.66,7.397,20.008,16.541,18.125,19.495,23.12,22.42,35.14,127.41,13.831
71.65,28.54,36.9,43.44,9.051,11116.89,31.98,35.83,92.81,43.09,80.22,37.79,48.27,55.36,26.33,52.99,68.77,102.08,557.93,5.4529,35.18,16.553,718.65,117.09,74.93,14.09,80.27,14.31,67.91,7.894,18558.29,2.944,294.88,40.81,26.63,61614.5746,23.45,37.15,7.117000000000001,19.712,16.365,18.088,19.428,23.06,22.19,34.36,124.52,13.683
72.54,28.78,37.37,43.99,9.572,10503.66,32.18,36.17,92.97,42.99,81.12,38.18,49.14,56.2,26.51,52.99,68.06,103.51,567.05,5.6136,35.71,16.742,702.07,115.77,74.96,14.35,81.22,14.629,67.19,8.282,17605.08,3.0409,298.48,41.26,26.93,60067.81,23.65,37.53,7.272,19.99,16.625,18.08,19.63,23.12,22.35,34.85,125.45,13.783
72.91,29.28,37.94,44.54,10.074,9945.46,32.39,37.18,93.69,42.38,81.83,38.45,49.49,56.67,26.69,52.34,68.9,104.44,585.3,5.691,35.97,17.235,690.6,114.84,75.09,14.78,81.91,14.897,68.18,8.458,17204.96,3.1123,302.48,41.62,27.38,58664.96,24.15,37.96,7.428,20.08,16.701,18.229,19.536,23.15,22.41,36.59,127.12,13.852
72.37,28.81,37.65,43.68,9.873,10122.35,31.84,36.58,93.03,42.29,81.14,38.09,48.5,55.6,26.37,52.63,68.82,102.96,568.65,5.5578,35.55,16.887,702.22,115.67,75.14,14.439,81.2,14.634,68.39,7.941,18252.32,3.0465,288.72,41.23,27.01,60313.61,23.45,37.39,7.371,19.792,16.541,18.125,19.509,23.06,22.1,35.5,125.02,13.505
70.88,27.57,36.44,42.08,8.726,11282.0,30.31,34.8,91.59,41.2,78.99,37.22,47.01,54.2,25.04,51.26,68.93,99.7,547.26,5.2309,34.49,15.72,738.64,118.78,75.22,13.77,79.1,13.873,69.36,7.23,19911.62,2.8108,284.16,40.12,25.9,63446.97,22.56,36.17,7.06,19.207,16.151,18.012999999999995,19.267,23.01,21.4,33.22,120.15,13.145
71.54,28.19,36.97,43.03,9.161,10735.59,30.93,35.31,92.05,41.91,79.8,37.54,47.8,54.82,25.36,51.96,68.76,101.27,559.36,5.3789,35.0,16.118,722.83,117.54,75.17,13.71,79.99,14.178,69.02,7.581,18981.94,2.8888,294.48,40.59,26.34,62351.45,22.93,36.62,7.21,19.415,16.39,18.043,19.3,22.97,21.64,34.0,122.25,13.279000000000002
72.08,28.31,37.31,43.37,9.161,10731.66,30.99,35.65,92.5,42.08,80.46,37.91,48.24,55.64,25.18,52.35,68.98,101.76,568.04,5.4507,35.22,16.241,711.99,116.61,75.25,13.56,80.57,14.385,69.65,7.796,18440.61,2.9583,304.88,40.93,26.47,60057.7,23.22,37.2,7.195,19.496,16.432000000000002,18.162,19.448,23.3,21.86,34.19,124.35,13.499
72.58,28.78,37.63,43.93,9.789,9992.63,31.42,36.0,92.29,41.94,81.28,38.27,48.82,56.06,26.17,52.28,69.3,103.0,576.84,5.5763,35.63,16.618,696.96,115.34,75.22,13.7,81.41,14.686,70.17,8.077,17781.6,3.0528,301.36,41.33,26.86,59238.46,23.27,37.53,7.397,19.736,16.617,18.252,19.623,23.49,22.02,34.42,125.59,13.544
73.83,29.25,38.41,44.85,10.402,9359.73,31.57,36.64,93.67,42.6,82.89,38.83,49.96,57.11,26.81,52.52,68.99,104.94,598.22,5.7268,36.12,17.467,669.84,113.11,75.1,13.9,82.99,15.254,68.68,8.639,16522.41,3.2307,305.82,42.1,27.31,58204.45,23.89,38.62,7.536,20.27,16.86,18.453,19.993,23.79,22.53,35.64,129.33,13.765999999999998
73.94,29.33,38.41,44.7,10.156,9583.8,31.41,36.62,92.36,42.3,82.93,38.81,49.88,57.18,26.61,52.27,69.34,104.67,606.69,5.7243,36.1,17.749000000000006,668.76,113.11,75.19,13.9,83.02,15.273,69.96,8.597000000000001,16569.48,3.2344,306.2408,42.16,27.36,58398.95,23.7,39.13,7.479,20.23,16.81,18.505,20.03,23.87,22.23,35.75,130.39,13.57
74.14,29.3,38.8,44.01,10.453,9288.98,31.41,36.59,92.74,42.29,83.03,38.86,50.15,57.36,26.83,52.39,69.46,105.07,594.15,5.7465,36.18,17.546,667.52,112.99,75.19,14.03,83.09,15.300999999999998,70.33,8.732999999999999,16369.42,3.2387,297.28,42.23,27.33,59709.48,23.63,38.47,7.568,20.42,16.852,18.491,19.899,23.87,22.54,35.16,127.9,13.875
74.14,29.17,38.63,43.97,10.445,9292.91,31.17,36.2,92.77,42.46,82.98,38.86,50.22,57.43,26.99,52.51,69.92,105.0,593.17,5.7327,36.13,17.264,667.83,112.89,75.24,14.09,83.1,15.300999999999998,70.67,8.765,16239.97,3.2419,295.6,42.2,27.17,60364.8,23.49,38.64,7.553,20.19,16.923,18.558,19.879,23.89,22.67,34.98,127.4,13.966
74.38,29.13,38.92,44.01,10.712,9053.12,31.25,37.01,93.24,42.25,83.25,38.9,50.15,57.37,27.24,52.32,69.6,105.33,593.17,5.7428,36.18,17.155,664.42,112.58,75.23,14.07,83.36,15.380999999999998,70.33,8.735,16298.81,3.2723,301.36,42.35,27.13,58982.54,23.63,38.72,7.635,20.38,16.969,18.55,19.879,23.89,22.72,34.97,127.87,14.07
